function_type,name,return_type,param_names,param_types,description
scalar,right,,,,Returns a specified number of characters from the right side of a string.
scalar,left,,,,Returns a specified number of characters from the left side of a string.
window,first_value,,,,Returns value evaluated at the row that is the first row of the window frame.
scalar,datetrunc,,,,Truncates a timestamp value to a specified precision.
scalar,current_timestamp,,,,"
Returns the current UTC timestamp.

The `now()` return value is determined at query time and will return the same timestamp, no matter when in the query plan the function executes.
"
scalar,find_in_set,,,,Returns a value in the range of 1 to N if the string str is in the string list strlist consisting of N substrings.
scalar,to_hex,,,,Converts an integer to a hexadecimal string.
scalar,octet_length,,,,Returns the length of a string in bytes.
scalar,nullif,,,,"Returns _null_ if _expression1_ equals _expression2_; otherwise it returns _expression1_.
This can be used to perform the inverse operation of [`coalesce`](#coalesce)."
scalar,replace,,,,Replaces all occurrences of a specified substring in a string with a new substring.
scalar,today,,,,"
Returns the current UTC date.

The `current_date()` return value is determined at query time and will return the same date, no matter when in the query plan the function executes.
"
scalar,substring,,,,Extracts a substring of a specified number of characters from a specific starting position in a string.
aggregate,last_value,,,,"Returns the last element in an aggregation group according to the requested ordering. If no ordering is given, returns an arbitrary element from the group."
aggregate,nth_value,,,,Returns the nth value in a group of values.
scalar,instr,,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0."
scalar,coalesce,,,,Returns the first of its arguments that is not _null_. Returns _null_ if all arguments are _null_. This function is often used to substitute a default value for _null_ values.
scalar,concat,,,,Concatenates multiple strings together.
scalar,from_unixtime,,,,Converts an integer to RFC3339 timestamp format (`YYYY-MM-DDT00:00:00.000000000Z`). Integers and unsigned integers are interpreted as seconds since the unix epoch (`1970-01-01T00:00:00Z`) return the corresponding timestamp.
scalar,log2,,,,Returns the base-2 logarithm of a number.
scalar,ltrim,,,,"Trims the specified trim string from the beginning of a string. If no trim string is provided, all whitespace is removed from the start of the input string."
scalar,bit_length,,,,Returns the bit length of a string.
scalar,abs,,,,Returns the absolute value of a number.
scalar,ceil,,,,Returns the nearest integer greater than or equal to a number.
scalar,cos,,,,Returns the cosine of a number.
scalar,random,,,,"Returns a random float value in the range [0, 1).
The random seed is unique to each row."
scalar,version,,,,Returns the version of DataFusion.
scalar,rpad,,,,Pads the right side of a string with another string to a specified string length.
scalar,rtrim,,,,"Trims the specified trim string from the end of a string. If no trim string is provided, all whitespace is removed from the end of the input string."
aggregate,count,,,,"Returns the number of non-null values in the specified column. To include null values in the total count, use `count(*)`."
aggregate,bit_and,,,,Computes the bitwise AND of all non-null input values.
aggregate,stddev_pop,,,,Returns the population standard deviation of a set of numbers.
aggregate,first_value,,,,"Returns the first element in an aggregation group according to the requested ordering. If no ordering is given, returns an arbitrary element from the group."
aggregate,max,,,,Returns the maximum value in the specified column.
aggregate,stddev,,,,Returns the standard deviation of a set of numbers.
window,percent_rank,,,,Returns the percentage rank of the current row within its partition. The value ranges from 0 to 1 and is computed as `(rank - 1) / (total_rows - 1)`.
window,rank,,,,"Returns the rank of the current row within its partition, allowing gaps between ranks. This function provides a ranking similar to `row_number`, but skips ranks for identical values."
window,dense_rank,,,,"Returns the rank of the current row without gaps. This function ranks rows in a dense manner, meaning consecutive ranks are assigned even for identical values."
window,lead,,,,"Returns value evaluated at the row that is offset rows after the current row within the partition; if there is no such row, instead return default (which must be of the same type as value)."
window,ntile,,,,"Integer ranging from 1 to the argument value, dividing the partition as equally as possible"
scalar,atan,,,,Returns the arc tangent or inverse tangent of a number.
scalar,uuid,,,,Returns [`UUID v4`](https://en.wikipedia.org/wiki/Universally_unique_identifier#Version_4_(random)) string value which is unique per row.
scalar,degrees,,,,Converts radians to degrees.
scalar,sin,,,,Returns the sine of a number.
scalar,now,,,,"
Returns the current UTC timestamp.

The `now()` return value is determined at query time and will return the same timestamp, no matter when in the query plan the function executes.
"
scalar,log,,,,"Returns the base-x logarithm of a number. Can either provide a specified base, or if omitted then takes the base-10 of a number."
scalar,least,,,,Returns the smallest value in a list of expressions. Returns _null_ if all expressions are _null_.
scalar,current_time,,,,"
Returns the current UTC time.

The `current_time()` return value is determined at query time and will return the same time, no matter when in the query plan the function executes.
"
scalar,concat_ws,,,,Concatenates multiple strings together with a specified separator.
scalar,pi,,,,Returns an approximate value of π.
scalar,substring_index,,,,"Returns the substring from str before count occurrences of the delimiter delim.
If count is positive, everything to the left of the final delimiter (counting from the left) is returned.
If count is negative, everything to the right of the final delimiter (counting from the right) is returned."
scalar,nvl2,,,,Returns _expression2_ if _expression1_ is not NULL; otherwise it returns _expression3_.
scalar,sha256,,,,Computes the SHA-256 hash of a binary string.
scalar,sha512,,,,Computes the SHA-512 hash of a binary string.
scalar,ifnull,,,,Returns _expression2_ if _expression1_ is NULL otherwise it returns _expression1_.
scalar,regexp_like,,,,"Returns true if a [regular expression](https://docs.rs/regex/latest/regex/#syntax) has at least one match in a string, false otherwise."
scalar,exp,,,,Returns the base-e exponential of a number.
scalar,lpad,,,,Pads the left side of a string with another string to a specified string length.
scalar,repeat,,,,Returns a string with an input string repeated a specified number.
scalar,to_char,,,,"Returns a string representation of a date, time, timestamp or duration based on a [Chrono format](https://docs.rs/chrono/latest/chrono/format/strftime/index.html). Unlike the PostgreSQL equivalent of this function numerical formatting is not supported."
scalar,pow,,,,Returns a base expression raised to the power of an exponent.
scalar,current_date,,,,"
Returns the current UTC date.

The `current_date()` return value is determined at query time and will return the same date, no matter when in the query plan the function executes.
"
aggregate,string_agg,,,,"Concatenates the values of string expressions and places separator values between them. If ordering is required, strings are concatenated in the specified order. This aggregation function can only mix DISTINCT and ORDER BY if the ordering expression is exactly the same as the first argument expression."
aggregate,bool_and,,,,"Returns true if all non-null input values are true, otherwise false."
window,lag,,,,"Returns value evaluated at the row that is offset rows before the current row within the partition; if there is no such row, instead return default (which must be of the same type as value)."
window,cume_dist,,,,Relative rank of the current row: (number of rows preceding or peer with the current row) / (total rows).
window,row_number,,,,"Number of the current row within its partition, counting from 1."
scalar,if,bool,,"boolean,any,any","Returns one value if a condition is TRUE, or another value if a condition is FALSE"
scalar,ceiling,int,,"decimal","Returns the smallest integer value greater than or equal to a number"
scalar,datediff,int,,"date,date","Returns the number of days between two dates"
scalar,timestampdiff,int,,"varchar,datetime,datetime","Returns the difference between two datetime expressions"
scalar,inet_aton,int,,"varchar","Converts an IPv4 address to numeric value"
scalar,inet_ntoa,varchar,,"int","Converts numeric value to IPv4 address"
scalar,format,varchar,,"decimal,int","Formats number to specified decimal places and adds thousand separators"
scalar,hex,varchar,,"decimal_or_string","Returns hexadecimal representation of a decimal or string value"
scalar,unhex,varchar,,"varchar","Converts hexadecimal value to string"
scalar,lcase,varchar,,"varchar","Synonym for LOWER()"
scalar,quote,varchar,,"varchar","Escapes string and adds single quotes"
scalar,soundex,varchar,,"varchar","Returns soundex string of given string"
scalar,space,varchar,,"int","Returns string of specified number of spaces"
scalar,truncate,decimal,,"decimal,int","Truncates number to specified number of decimal places"
scalar,weekday,int,,"date","Returns weekday index (0=Monday, 6=Sunday)"
scalar,yearweek,int,,"date","Returns year and week number"
scalar,dayname,varchar,,"date","Returns name of weekday"
scalar,monthname,varchar,,"date","Returns name of month"
scalar,quarter,int,,"date","Returns quarter from date (1 to 4)"
scalar,week,int,,"date","Returns week number"
aggregate,group_concat,varchar,,"any","Returns a concatenated string from a group"
aggregate,std,decimal,,"any","Returns the population standard deviation"
aggregate,variance,decimal,,"any","Returns the population variance"
aggregate,json_arrayagg,json,,"any","Aggregates result set as JSON array"
aggregate,json_objectagg,json,,"varchar,any","Aggregates result set as JSON object"
