function_type,name,return_type,param_names,param_types,description
aggregate,grouping,int64,,,"Returns a value indicating grouping levels"
aggregate,bool_and,bool,,,"Returns true if all values are true"
window,row_number,int64,,,"Returns the row number within a partition"
window,lag,int64,,,"Returns a value from a previous row"
scalar,named_struct,struct,,,"Creates a struct with named fields"
scalar,trunc,float64,,,"Truncates a number to an integer"
scalar,rtrim,string,,,"Removes trailing whitespace from a string"
scalar,rpad,string,,,"Pads a string on the right with specified characters"
scalar,ceil,float64,,,"Returns the smallest integer greater than or equal to a number"
scalar,random,float64,,,"Returns a random number between 0 and 1"
scalar,concat,string,,,"Concatenates strings"
scalar,array_element,int64,,,"Returns an element from an array at a specified index"
scalar,cos,float64,,,"Returns the cosine of an angle"
scalar,list_has,bool,,,"Checks if a list contains a value"
scalar,coalesce,string,,,"Returns the first non-null value from a list"
scalar,abs,int64,,,"Returns the absolute value of a number"
scalar,log2,float64,,,"Returns the base-2 logarithm of a number"
scalar,ltrim,string,,,"Removes leading whitespace from a string"
scalar,instr,int64,,,"Returns the position of a substring within a string"
scalar,generate_series,array,,,"Generates a series of values"
aggregate,corr,float64,,,"Returns the correlation coefficient between two values"
aggregate,count,int64,,,"Returns the count of rows"
aggregate,stddev_pop,float64,,,"Returns the population standard deviation"
aggregate,covar_samp,float64,,,"Returns the sample covariance"
aggregate,max,int64,,,"Returns the maximum value"
aggregate,stddev,float64,,,"Returns the sample standard deviation"
aggregate,bit_and,int64,,,"Returns the bitwise AND of values"
window,dense_rank,int64,,,"Returns the dense rank of values"
window,ntile,int64,,,"Divides rows into buckets"
window,percent_rank,float64,,,"Returns the percentile rank of values"
window,rank,int64,,,"Returns the rank of values"
window,lead,int64,,,"Returns a value from a following row"
aggregate,var_samp,float64,,,"Returns the sample variance"
window,last_value,int64,,,"Returns the last value in an ordered set"
scalar,datetime,timestamp,,"text","Converts a string to a DATETIME."
scalar,current_timestamp,timestamptz,,"","Returns current timestamp."
scalar,datetime_add,datetime,,"datetime,interval","Adds a specified interval to a datetime."
scalar,datetime_sub,datetime,,"datetime,interval","Subtracts a specified interval from a datetime."
scalar,date_add,date,,"date,interval","Adds a specified interval to a date."
