function_type,name,return_type,param_names,param_types,description
scalar,current_timestamp,datetime,,,"Returns the current UTC timestamp."
scalar,find_in_set,bigint,,,"Returns a value in the range of 1 to N if the string str is in the string list strlist consisting of N substrings."
scalar,to_hex,varchar,,,"Converts an integer to a hexadecimal string."
scalar,octet_length,bigint,,,"Returns the length of a string in bytes."
scalar,nullif,same_as_input,,,"Returns _null_ if _expression1_ equals _expression2_; otherwise it returns _expression1_."
scalar,replace,varchar,,,"Replaces all occurrences of a specified substring in a string with a new substring."
scalar,today,date,,,"Returns the current UTC date."
scalar,substring,varchar,,,"Extracts a substring of a specified number of characters from a specific starting position in a string."
aggregate,last_value,same_as_input,,,"Returns the last element in an aggregation group according to the requested ordering."
aggregate,nth_value,same_as_input,,,"Returns the nth value in a group of values."
scalar,instr,bigint,,,"Returns the starting position of a specified substring in a string."
scalar,coalesce,same_as_input,,,"Returns the first of its arguments that is not _null_."
scalar,concat,varchar,,,"Concatenates multiple strings together."
scalar,from_unixtime,datetime,,,"Converts an integer to RFC3339 timestamp format."
scalar,log2,double,,,"Returns the base-2 logarithm of a number."
scalar,ltrim,varchar,,,"Trims the specified trim string from the beginning of a string."
scalar,bit_length,bigint,,,"Returns the bit length of a string."
scalar,abs,same_as_input,,,"Returns the absolute value of a number."
scalar,ceil,double,,,"Returns the nearest integer greater than or equal to a number."
scalar,cos,double,,,"Returns the cosine of a number."
scalar,random,double,,,"Returns a random float value in the range [0, 1)."
scalar,version,varchar,,,"Returns the version of MySQL."
scalar,rpad,varchar,,,"Pads the right side of a string with another string to a specified string length."
scalar,rtrim,varchar,,,"Trims the specified trim string from the end of a string."
aggregate,count,bigint,,,"Returns the number of non-null values in the specified column."
aggregate,bit_and,bigint,,,"Computes the bitwise AND of all non-null input values."
aggregate,stddev_pop,double,,,"Returns the population standard deviation of a set of numbers."
aggregate,first_value,same_as_input,,,"Returns the first element in an aggregation group."
aggregate,max,same_as_input,,,"Returns the maximum value in the specified column."
aggregate,stddev,double,,,"Returns the standard deviation of a set of numbers."
window,percent_rank,double,,,"Returns the percentage rank of the current row within its partition."
window,rank,bigint,,,"Returns the rank of the current row within its partition."
window,dense_rank,bigint,,,"Returns the rank of the current row without gaps."
window,lead,same_as_input,,,"Returns value evaluated at the row that is offset rows after the current row."
window,ntile,int,,,"Integer ranging from 1 to the argument value, dividing the partition as equally as possible."
scalar,atan,double,,,"Returns the arc tangent or inverse tangent of a number."
scalar,uuid,varchar,,,"Returns uuid v4 string value."
scalar,degrees,double,,,"Converts radians to degrees."
scalar,sin,double,,,"Returns the sine of a number."
scalar,now,datetime,,,"Returns the current UTC timestamp."
scalar,log,double,,,"Returns the base-x logarithm of a number."
scalar,least,same_as_input,,,"Returns the smallest value in a list of expressions."
scalar,current_time,time,,,"Returns the current UTC time."
scalar,concat_ws,varchar,,,"Concatenates multiple strings together with a specified separator."
scalar,pi,double,,,"Returns an approximate value of π."
scalar,substring_index,varchar,,,"Returns the substring from str before count occurrences of the delimiter."
scalar,nvl2,varchar,,,"Returns _expression2_ if _expression1_ is not NULL; otherwise it returns _expression3_."
scalar,sha256,varchar,,,"Computes the SHA-256 hash of a binary string."
scalar,sha512,varchar,,,"Computes the SHA-512 hash of a binary string."
scalar,ifnull,same_as_input,,,"Returns _expression2_ if _expression1_ is NULL otherwise it returns _expression1_."
scalar,regexp_like,boolean,,,"Returns true if a regular expression has at least one match in a string."
scalar,exp,double,,,"Returns the base-e exponential of a number."
scalar,lpad,varchar,,,"Pads the left side of a string with another string to a specified string length."
scalar,repeat,varchar,,,"Returns a string with an input string repeated a specified number."
scalar,to_char,varchar,,,"Returns a string representation of a date, time, timestamp or duration based on a format."
scalar,pow,double,,,"Returns a base expression raised to the power of an exponent."
scalar,current_date,date,,,"Returns the current UTC date."
aggregate,string_agg,varchar,,,"Concatenates the values of string expressions with separator values."
aggregate,bool_and,boolean,,,"Returns true if all non-null input values are true, otherwise false."
window,lag,same_as_input,,,"Returns value evaluated at the row that is offset rows before the current row."
window,cume_dist,double,,,"Relative rank of the current row."
window,row_number,bigint,,,"Number of the current row within its partition, counting from 1."
scalar,if,bool,,"boolean,any,any","Returns one value if a condition is TRUE, or another value if a condition is FALSE"
scalar,ceiling,int,,"decimal","Returns the smallest integer value greater than or equal to a number"
scalar,datediff,int,,"date,date","Returns the number of days between two dates"
scalar,timestampdiff,int,,"varchar,datetime,datetime","Returns the difference between two datetime expressions"
scalar,inet_aton,int,,"varchar","Converts an IPv4 address to numeric value"
scalar,inet_ntoa,varchar,,"int","Converts numeric value to IPv4 address"
scalar,format,varchar,,"decimal,int","Formats number to specified decimal places and adds thousand separators"
scalar,hex,varchar,,"decimal_or_string","Returns hexadecimal representation of a decimal or string value"
scalar,unhex,varchar,,"varchar","Converts hexadecimal value to string"
scalar,lcase,varchar,,"varchar","Synonym for LOWER()"
scalar,quote,varchar,,"varchar","Escapes string and adds single quotes"
scalar,soundex,varchar,,"varchar","Returns soundex string of given string"
scalar,space,varchar,,"int","Returns string of specified number of spaces"
scalar,truncate,decimal,,"decimal,int","Truncates number to specified number of decimal places"
scalar,weekday,int,,"date","Returns weekday index (0=Monday, 6=Sunday)"
scalar,yearweek,int,,"date","Returns year and week number"
scalar,dayname,varchar,,"date","Returns name of weekday"
scalar,monthname,varchar,,"date","Returns name of month"
scalar,quarter,int,,"date","Returns quarter from date (1 to 4)"
scalar,week,int,,"date","Returns week number"
aggregate,group_concat,varchar,,"any","Returns a concatenated string from a group"
aggregate,std,decimal,,"any","Returns the population standard deviation"
aggregate,variance,decimal,,"any","Returns the population variance"
aggregate,json_arrayagg,json,,"any","Aggregates result set as JSON array"
aggregate,json_objectagg,json,,"varchar,any","Aggregates result set as JSON object"
