function_type,name,return_type,param_names,param_types,description
scalar,h3_tessellateaswkb,any,,,"h3_tessellateaswkb(geo, resolution) - Returns an array of structs representing the chips covering geography at the specified resolution."
scalar,h3_tochildren,any,,,"h3_tochildren(h3cell, resolution) - Returns the children H3 cell IDs of the input H3 cell ID at the specified resolution."
scalar,h3_toparent,any,,,"h3_toparent(h3cell, resolution) - Returns the parent H3 cell ID of the input H3 cell ID at the specified resolution."
scalar,h3_try_coverash3,any,,,"h3_try_coverash3(geoRep, resolution) - Returns an array of cell IDs represented as long integers, corresponding to hexagons or pentagons of the specified resolution that minimally cover the input linear or areal geography, or NULL if the geography input is invalid"
scalar,h3_try_coverash3string,any,,,"h3_try_coverash3string(geoRep, resolution) - Returns an array of cell IDs represented as strings, corresponding to hexagons or pentagons of the specified resolution that minimally cover the input linear or areal geography, or NULL if the geography input is invalid"
scalar,h3_try_distance,any,,,"h3_try_distance(h3cell1, h3cell2) - Returns the grid distance between two H3 cell IDs of the same resolution or NULL if the grid distance is not defined."
scalar,h3_try_polyfillash3,any,,,"h3_try_polyfillash3(geoRep, resolution) - Returns an array of cell IDs represented as long integers, corresponding to hexagons or pentagons of the specified resolution that are contained by the input areal geography."
scalar,h3_try_polyfillash3string,any,,,"h3_try_polyfillash3string(geoRep, resolution) - Returns an array of cell IDs represented as strings, corresponding to hexagons or pentagons of the specified resolution that are contained by the input areal geography."
scalar,h3_try_tessellateaswkb,any,,,"h3_try_tessellateaswkb(geo, resolution) - Returns an array of structs representing the chips covering geography at the specified resolution."
scalar,h3_try_validate,any,,,h3_try_validate(h3cell) - Returns the input value if it is a valid H3 cell or NULL otherwise.
scalar,h3_uncompact,any,,,"h3_uncompact(h3cells, resolution) - Uncompacts the input set of H3 cell IDs to the specified resolution."
scalar,h3_validate,any,,,h3_validate(h3cell) - Returns the input value if it is a valid H3 cell or emits an error otherwise.
scalar,hash,any,,,"hash(expr1, expr2, ...) - Returns a hash value of the arguments."
scalar,hex,varchar,,,hex(expr) - Converts `expr` to hexadecimal.
aggregate,histogram_numeric,any,,,"histogram_numeric(expr, nb) - Computes a histogram on numeric 'expr' using nb bins. The return value is an array of (x,y) pairs representing the centers of the histogram's bins. As the value of 'nb' is increased, the histogram approximation gets finer-grained, but may yield artifacts around outliers. In practice, 20-40 histogram bins appear to work well, with more bins being required for skewed or smaller datasets. Note that this function creates a histogram with non-uniform bin widths. It offers no guarantees in terms of the mean-squared-error of the histogram, but in practice is comparable to the histograms produced by the R/S-Plus statistical computing packages. Note: the output type of the 'x' field in the return value is propagated from the input value consumed in the aggregate function."
scalar,hll_cardinality_internal,any,,,hll_cardinality_internal(expr) - Returns the estimated number of unique values.
aggregate,hll_collect_internal,any,,,"hll_collect_internal(expr, lgK, useHashAgg) - Returns a binary representation of an HLL sketch. `lgK` defines the size of the sketch. The default value is 9. `useHashAgg` dictates whether we use a hash-based or a sort based=aggregation, refer to the `hasFixedSizeBuffer` definition below for more info."
aggregate,hll_sketch_agg,any,,,"hll_sketch_agg(expr, lgConfigK) - Returns the HllSketch's updatable binary representation. `lgConfigK` (optional) the log-base-2 of K, with K is the number of buckets or slots for the HllSketch."
scalar,hll_sketch_estimate,any,,,hll_sketch_estimate(expr) - Returns the estimated number of unique values given the binary representation of a Datasketches HllSketch.
scalar,hll_union,any,,,"hll_union(first, second, allowDifferentLgConfigK) - Merges two binary representations of Datasketches HllSketch objects, using a Datasketches Union object. Set allowDifferentLgConfigK to true to allow unions of sketches with different lgConfigK values (defaults to false)."
aggregate,hll_union_agg,any,,,"hll_union_agg(expr, allowDifferentLgConfigK) - Returns the estimated number of unique values. `allowDifferentLgConfigK` (optional) Allow sketches with different lgConfigK values to be unioned (defaults to false)."
scalar,hour,bigint,,,hour(expr) - Returns the hour component of the given expression.
scalar,http_request,any,,,"http_request(conn, method, path, json, headers, params) - Uses the conn (Connection) object to make an http request"
scalar,hypot,double,,,"hypot(expr1, expr2) - Returns sqrt(`expr1`² + `expr2`²)."
scalar,if,same_as_input,,,"if(expr1, expr2, expr3) - If `expr1` evaluates to true, then returns `expr2`; otherwise returns `expr3`."
scalar,iff,same_as_input,,,"iff(expr1, expr2, expr3) - If `expr1` evaluates to true, then returns `expr2`; otherwise returns `expr3`."
scalar,ilike,boolean,,,"str ilike pattern[ ESCAPE escape] - Returns true if str matches `pattern` with `escape` case-insensitively, null if any arguments are null, false otherwise."
scalar,in,boolean,,,"expr1 in(expr2, expr3, ...) - Returns true if `expr` equals to any valN."
scalar,ingestion_describe_table,any,,,"ingestion_describe_table( gatewayId: string | connectionName: string, catalogName: string, schemaName: string, tableName: string, payload: string )"
scalar,ingestion_list_catalogs,any,,,ingestion_list_catalogs(gatewayId: string | connectionName: string)
scalar,ingestion_list_schemas,any,,,"ingestion_list_schemas(gatewayId: string | connectionId: string, catalogName: string)"
scalar,ingestion_list_tables,any,,,"ingestion_list_tables( gatewayId: string | connectionId: string, catalogName: string, schemaName: string, payload: string )"
scalar,ingestion_read_data,any,,,"ingestion_read_data( gatewayId: string | connectionId: string, catalogName: string, schemaName: string, tableName: string, [optionMap] )"
scalar,inline,any,,,"inline(expr) - Explodes an array of structs into a table. Uses column names col1, col2, etc. by default unless specified otherwise."
scalar,inline_outer,any,,,"inline_outer(expr) - Explodes an array of structs into a table. Uses column names col1, col2, etc. by default unless specified otherwise."
scalar,input_file_block_length,any,,,"input_file_block_length() - Returns the length of the block being read, or -1 if not available."
scalar,input_file_block_start,any,,,"input_file_block_start() - Returns the start offset of the block being read, or -1 if not available."
scalar,input_file_name,any,,,"input_file_name() - Returns the name of the file being read, or empty string if not available."
scalar,int,any,,,int(expr) - Casts the value `expr` to the target data type `int`.
scalar,is_account_group_member,boolean,,,"is_account_group_member(group) - Given a group name, returns a boolean value indicating whether the current user is a member of that group. This function enforce that group membership ischecked at account level."
scalar,is_member,boolean,,,"is_member(group) - Given a group name, returns a boolean value indicating whether the current user is a member of that group."
scalar,is_valid_utf8,boolean,,,"is_valid_utf8(str) - Returns true if `str` is a valid UTF-8 string, otherwise returns false."
scalar,is_variant_null,boolean,,,is_variant_null(expr) - Check if a variant value is a variant null. Returns true if and only if the input is a variant null and false otherwise (including in the case of SQL NULL).
scalar,isnotnull,boolean,,,"isnotnull(expr) - Returns true if `expr` is not null, or false otherwise."
scalar,isnull,boolean,,,"isnull(expr) - Returns true if `expr` is null, or false otherwise."
scalar,java_method,any,,,"java_method(class, method[, arg1[, arg2 ..]]) - Calls a method with reflection."
scalar,json_array_length,bigint,,,json_array_length(jsonArray) - Returns the number of elements in the outermost JSON array.
scalar,json_object_keys,array,,,json_object_keys(json_object) - Returns all the keys of the outermost JSON object as an array.
scalar,json_tuple,any,,,"json_tuple(jsonStr, p1, p2, ..., pn) - Returns a tuple like the function get_json_object, but it takes multiple names. All the input parameters and output column types are string."
aggregate,kurtosis,double,,,kurtosis(expr) - Returns the kurtosis value calculated from values of a group.
aggregate,last,any,,,"last(expr[, isIgnoreNull]) - Returns the last value of `expr` for a group of rows. If `isIgnoreNull` is true, returns only non-null values"
scalar,last_day,date,,,last_day(date) - Returns the last day of the month which the date belongs to.
scalar,lcase,varchar,,,lcase(str) - Returns `str` with all characters changed to lowercase.
scalar,len,bigint,,,Length in characters
scalar,like,boolean,,,"str like pattern[ ESCAPE escape] - Returns true if str matches `pattern` with `escape`, null if any arguments are null, false otherwise."
scalar,list_secrets,any,,,"list_secrets() - Queries all secrets available to the current user using the Databricks secret service. It accepts an optional variable list of string arguments representing the scopes to look up secrets for; if no arguments are provided, all scopes are included. The function returns a relation with two string columns including the scopes and keys."
aggregate,listagg,string,,,Concatenates strings
scalar,localtimestamp,timestamp,,,localtimestamp() - Returns the current timestamp without time zone at the start of query evaluation. All calls of localtimestamp within the same query return the same value.
scalar,locate,bigint,,,"locate(substr, str[, pos]) - Returns the position of the first occurrence of `substr` in `str` after position `pos`. The given `pos` and return value are 1-based."
scalar,log1p,double,,,log1p(expr) - Returns log(1 + `expr`).
scalar,luhn_check,boolean,,,"luhn_check(str ) - Checks that a string of digits is valid according to the Luhn algorithm. This checksum function is widely applied on credit card numbers and government identification numbers to distinguish valid numbers from mistyped, incorrect numbers."
scalar,make_dt_interval,interval,,,"make_dt_interval([days[, hours[, mins[, secs]]]]) - Make DayTimeIntervalType duration from days, hours, mins and secs."
scalar,make_interval,interval,,,"make_interval([years[, months[, weeks[, days[, hours[, mins[, secs]]]]]]]) - Make interval from years, months, weeks, days, hours, mins and secs."
scalar,make_time,time,,,"make_time(hour, minute, second) - Create time from hour, minute and second fields. For invalid inputs it will throw an error."
