function_type,name,return_type,param_names,param_types,description,rn
scalar,position,,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0.",1
scalar,rpad,,,,Pads the right side of a string with another string to a specified string length.,1
scalar,starts_with,,,,Tests if a string starts with a substring.,1
aggregate,sum,,,,Returns the sum of all values in the specified column.,1
scalar,to_ascii,text,,"text,name",encode text from encoding to ASCII text,1
scalar,bit_length,,,,Returns the bit length of a string.,1
aggregate,bit_xor,,,,Computes the bitwise exclusive OR of all non-null input values.,1
scalar,ceiling,numeric,,numeric,nearest integer >= value,1
scalar,degrees,,,,Converts radians to degrees.,1
scalar,from_unixtime,,,,Converts an integer to RFC3339 timestamp format (`YYYY-MM-DDT00:00:00.000000000Z`). Integers and unsigned integers are interpreted as nanoseconds since the unix epoch (`1970-01-01T00:00:00Z`) return the corresponding timestamp.,1
scalar,jsonb_extract_path,jsonb,,"jsonb,array<text>",Get JSONB object at path,1
scalar,list_has_all,,,,Returns true if all elements of sub-array exist in array.,1
window,percent_rank,,,,Returns the percentage rank of the current row within its partition. The value ranges from 0 to 1 and is computed as `(rank - 1) / (total_rows - 1)`.,1
scalar,tanh,,,,Returns the hyperbolic tangent of a number.,1
scalar,version,,,,Returns the version of DataFusion.,1
scalar,asin,,,,Returns the arc sine or inverse sine of a number.,1
aggregate,bool_or,,,,"Returns true if all non-null input values are true, otherwise false.",1
scalar,btrim,,,,"Trims the specified trim string from the start and end of a string. If no trim string is provided, all whitespace is removed from the start and end of the input string.",1
scalar,convert_from,text,,"bytea,text",Convert from encoding,1
scalar,is_normalized,boolean,,"text,text",check Unicode normalization,1
aggregate,jsonb_object_agg,jsonb,,"text,any",Aggregates pairs into JSONB object,1
scalar,nvl,,,,Returns _expression2_ if _expression1_ is NULL otherwise it returns _expression1_.,1
scalar,regexp_instr,integer,,"text,text,integer,integer",position of regexp match,1
window,row_number,,,,"Number of the current row within its partition, counting from 1.",1
scalar,sin,,,,Returns the sine of a number.,1
scalar,substr,,,,Extracts a substring of a specified number of characters from a specific starting position in a string.,1
scalar,acos,,,,Returns the arc cosine or inverse cosine of a number.,1
scalar,array_cat,,,,Concatenates arrays.,1
scalar,array_element,,,,Extracts the element with the index n from the array.,1
scalar,array_upper,int,,"array,integer",Upper bound of array,1
scalar,ascii,,,,Returns the Unicode character code of the first character in a string.,1
aggregate,bit_and,,,,Computes the bitwise AND of all non-null input values.,1
scalar,character_length,,,,Returns the number of characters in a string.,1
window,dense_rank,,,,"Returns the rank of the current row without gaps. This function ranks rows in a dense manner, meaning consecutive ranks are assigned even for identical values.",1
scalar,floor,,,,Returns the nearest integer less than or equal to a number.,1
scalar,isfinite,boolean,,timestamp,Test for finite date/timestamp/interval,1
scalar,list_ndims,,,,Returns the number of dimensions of the array.,1
aggregate,regr_slope,,,,"Returns the slope of the linear regression line for non-null pairs in aggregate columns. Given input column Y and X: regr_slope(Y, X) returns the slope (k in Y = k*X + b) using minimal RSS fitting.",1
scalar,sha224,,,,Computes the SHA-224 hash of a binary string.,1
scalar,today,,,,"
Returns the current UTC date.

The `current_date()` return value is determined at query time and will return the same date, no matter when in the query plan the function executes.
",1
scalar,translate,,,,Translates characters in a string to specified translation characters.,1
aggregate,bit_or,,,,Computes the bitwise OR of all non-null input values.,1
aggregate,grouping,,,,"Returns 1 if the data is aggregated across the specified column, or 0 if it is not aggregated in the result set.",1
scalar,jsonb_array_length,int,,jsonb,Length of JSONB array,1
scalar,left,,,,Returns a specified number of characters from the left side of a string.,1
scalar,length,,,,Returns the number of characters in a string.,1
scalar,list_replace,,,,Replaces the first occurrence of the specified element with another specified element.,1
scalar,lpad,,,,Pads the left side of a string with another string to a specified string length.,1
scalar,ltrim,,,,"Trims the specified trim string from the beginning of a string. If no trim string is provided, all whitespace is removed from the start of the input string.",1
aggregate,percentile_disc,int,,double,discrete percentile,1
scalar,regexp_count,,,,Returns the number of matches that a [regular expression](https://docs.rs/regex/latest/regex/#syntax) has in a string.,1
scalar,regexp_substr,text,,"text,text",extract substring that matches regexp,1
aggregate,regr_avgy,,,,Computes the average of the dependent variable (output) expression_y for the non-null paired data points.,1
scalar,reverse,,,,Reverses the character order of a string.,1
scalar,sign,numeric,,numeric,Sign of number,1
scalar,split_part,,,,Splits a string based on a specified delimiter and returns the substring in the specified position.,1
aggregate,array_agg,,,,"Returns an array created from the expression elements. If ordering is required, elements are inserted in the specified order.",1
scalar,array_concat,,,,Concatenates arrays.,1
scalar,concat_ws,,,,Concatenates multiple strings together with a specified separator.,1
scalar,cosh,,,,Returns the hyperbolic cosine of a number.,1
scalar,decode,,,,Decode binary data from textual representation in string.,1
scalar,encode,,,,Encode binary data into a textual representation.,1
scalar,json_object_keys,array<text>,,json,Get JSON object keys,1
scalar,list_indexof,,,,Returns the position of the first occurrence of the specified element in the array.,1
scalar,md5,,,,Computes an MD5 128-bit checksum for a string expression.,1
scalar,octet_length,,,,Returns the length of a string in bytes.,1
scalar,regexp_split_to_table,array<text>,,"text,text",Split string by pattern,1
aggregate,regr_r2,,,,Computes the square of the correlation coefficient between the independent and dependent variables.,1
scalar,sha256,,,,Computes the SHA-256 hash of a binary string.,1
scalar,sha512,,,,Computes the SHA-512 hash of a binary string.,1
scalar,substring,,,,Extracts a substring of a specified number of characters from a specific starting position in a string.,1
scalar,tand,double,,double,"tangent, degrees",1
scalar,array_to_string,,,,Converts each element to its text representation.,1
scalar,extract,numeric,,"text,timestamp",Get subfield from date/time,1
scalar,justify_days,interval,,interval,promote groups of 30 days to numbers of months,1
scalar,justify_hours,interval,,interval,promote groups of 24 hours to numbers of days,1
aggregate,median,,,,Returns the median value in the specified column.,1
scalar,pg_get_viewdef,text,,oid,Get view definition,1
scalar,pg_sleep,,,bigint,Sleep for specified time in seconds,1
scalar,pi,,,,Returns an approximate value of π.,1
scalar,quote_literal,text,,any,Quote literal,1
scalar,radians,,,,Converts degrees to radians.,1
scalar,upper,,,,Converts a string to upper-case.,1
scalar,acosh,,,,Returns the area hyperbolic cosine or inverse hyperbolic cosine of a number.,1
scalar,age,interval,,"timestamp,timestamp",Difference between timestamps,1
scalar,array_position,,,,Returns the position of the first occurrence of the specified element in the array.,1
scalar,array_remove,,,,Removes the first element from the array equal to the given value.,1
scalar,cos,,,,Returns the cosine of a number.,1
aggregate,covar_samp,,,,Returns the sample covariance of a set of number pairs.,1
scalar,date_format,,,,"Returns a string representation of a date, time, timestamp or duration based on a [Chrono format](https://docs.rs/chrono/latest/chrono/format/strftime/index.html). Unlike the PostgreSQL equivalent of this function numerical formatting is not supported.",1
scalar,datepart,,,,Returns the specified part of the date as an integer.,1
scalar,gcd,,,,Returns the greatest common divisor of `expression_x` and `expression_y`. Returns 0 if both inputs are zero.,1
aggregate,json_object_agg,json,,"text,any",Aggregates pairs into JSON object,1
window,lead,,,,"Returns value evaluated at the row that is offset rows after the current row within the partition; if there is no such row, instead return default (which must be of the same type as value).",1
scalar,list_cat,,,,Concatenates arrays.,1
scalar,list_concat,,,,Concatenates arrays.,1
aggregate,min,,,,Returns the minimum value in the specified column.,1
scalar,quote_ident,text,,text,Quote identifier,1
scalar,random,,,,"Returns a random float value in the range [0, 1).
The random seed is unique to each row.",1
scalar,right,,,,Returns a specified number of characters from the right side of a string.,1
scalar,to_json,json,,boolean,Convert to JSON,1
scalar,trunc,,,,Truncates a number to a whole number or truncated to the specified decimal places.,1
scalar,array_to_json,json,,array,Convert array to JSON,1
scalar,list_length,,,,Returns the length of the array dimension.,1
scalar,log2,,,,Returns the base-2 logarithm of a number.,1
scalar,lower,,,,Converts a string to lower-case.,1
scalar,nvl2,,,,Returns _expression2_ if _expression1_ is not NULL; otherwise it returns _expression3_.,1
scalar,pow,,,,Returns a base expression raised to the power of an exponent.,1
scalar,trim,,,,"Trims the specified trim string from the start and end of a string. If no trim string is provided, all whitespace is removed from the start and end of the input string.",1
scalar,array_has_all,,,,Returns true if all elements of sub-array exist in array.,1
aggregate,bool_and,,,,"Returns true if all non-null input values are true, otherwise false.",1
aggregate,json_agg,json,,any,aggregate input into json,1
scalar,jsonb_typeof,text,,jsonb,get the type of a jsonb value,1
scalar,parse_ident,array<text>,,"text,boolean",Parse qualified identifier,1
window,rank,,,,"Returns the rank of the current row within its partition, allowing gaps between ranks. This function provides a ranking similar to `row_number`, but skips ranks for identical values.",1
scalar,regexp_like,,,,"Returns true if a [regular expression](https://docs.rs/regex/latest/regex/#syntax) has at least one match in a string, false otherwise.",1
scalar,sinh,,,,Returns the hyperbolic sine of a number.,1
scalar,uuid,,,,Returns [`UUID v4`](https://en.wikipedia.org/wiki/Universally_unique_identifier#Version_4_(random)) string value which is unique per row.,1
aggregate,xmlagg,xml,,xml,Concatenates XML values,1
scalar,array_join,,,,Converts each element to its text representation.,1
scalar,array_ndims,,,,Returns the number of dimensions of the array.,1
scalar,current_timestamp,,,,"
Returns the current UTC timestamp.

The `now()` return value is determined at query time and will return the same timestamp, no matter when in the query plan the function executes.
",1
scalar,make_date,,,,Make a date from year/month/day component parts.,1
scalar,make_list,,,,Returns an array using the specified input expressions.,1
scalar,overlay,text,,"text,text,integer",substitute portion of string,1
aggregate,regr_avgx,,,,Computes the average of the independent variable (input) expression_x for the non-null paired data points.,1
aggregate,regr_count,,,,Counts the number of non-null paired data points.,1
aggregate,regr_intercept,,,,"Computes the y-intercept of the linear regression line. For the equation (y = kx + b), this function returns b.",1
scalar,sqrt,,,,Returns the square root of a number.,1
aggregate,stddev,,,,Returns the standard deviation of a set of numbers.,1
scalar,strpos,,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0.",1
scalar,tan,,,,Returns the tangent of a number.,1
scalar,unistr,varchar,,text,Postgres: Evaluate escaped Unicode characters in the argument,1
aggregate,var_samp,,,,Returns the statistical sample variance of a set of numbers.,1
scalar,area,double,,circle,area of circle,1
scalar,array_dims,,,,Returns an array of the array's dimensions.,1
scalar,array_indexof,,,,Returns the position of the first occurrence of the specified element in the array.,1
scalar,array_lower,int,,"array,integer",Lower bound of array,1
scalar,array_push_back,,,,Appends an element to the end of an array.,1
scalar,array_replace,,,,Replaces the first occurrence of the specified element with another specified element.,1
aggregate,count,,,,"Returns the number of non-null values in the specified column. To include null values in the total count, use `count(*)`.",1
scalar,format,text,,"text,array<any>",Format string,1
scalar,ifnull,,,,Returns _expression2_ if _expression1_ is NULL otherwise it returns _expression1_.,1
scalar,initcap,,,,Capitalizes the first character in each word in the input string. Words are delimited by non-alphanumeric characters.,1
window,lag,,,,"Returns value evaluated at the row that is offset rows before the current row within the partition; if there is no such row, instead return default (which must be of the same type as value).",1
scalar,log,,,,"Returns the base-x logarithm of a number. Can either provide a specified base, or if omitted then takes the base-10 of a number.",1
scalar,log10,,,,Returns the base-10 logarithm of a number.,1
scalar,make_array,,,,Returns an array using the specified input expressions.,1
scalar,now,,,,"
Returns the current UTC timestamp.

The `now()` return value is determined at query time and will return the same timestamp, no matter when in the query plan the function executes.
",1
window,ntile,,,,"Integer ranging from 1 to the argument value, dividing the partition as equally as possible",1
scalar,power,,,,Returns a base expression raised to the power of an exponent.,1
scalar,regexp_matches,array<text>,,"text,text,text",find match(es) for regexp,1
aggregate,regr_sxx,,,,Computes the sum of squares of the independent variable.,1
aggregate,regr_syy,,,,Computes the sum of squares of the dependent variable.,1
scalar,rtrim,,,,"Trims the specified trim string from the end of a string. If no trim string is provided, all whitespace is removed from the end of the input string.",1
scalar,sha384,,,,Computes the SHA-384 hash of a binary string.,1
aggregate,stddev_pop,,,,Returns the population standard deviation of a set of numbers.,1
aggregate,stddev_samp,,,,Returns the standard deviation of a set of numbers.,1
scalar,array_append,,,,Appends an element to the end of an array.,1
scalar,asinh,,,,Returns the area hyperbolic sine or inverse hyperbolic sine of a number.,1
scalar,atan,,,,Returns the arc tangent or inverse tangent of a number.,1
scalar,concat,,,,Concatenates multiple strings together.,1
scalar,cot,,,,Returns the cotangent of a number.,1
aggregate,covar_pop,,,,Returns the sample covariance of a set of number pairs.,1
scalar,current_date,,,,"
Returns the current UTC date.

The `current_date()` return value is determined at query time and will return the same date, no matter when in the query plan the function executes.
",1
scalar,datetrunc,,,,Truncates a timestamp value to a specified precision.,1
scalar,json_typeof,text,,json,get the type of a json value,1
scalar,jsonb_object_keys,array<text>,,jsonb,Get JSONB object keys,1
scalar,justify_interval,interval,,interval,promote groups of 24 hours to numbers of days and promote groups of 30 days to numbers of months,1
scalar,least,,,,Returns the smallest value in a list of expressions. Returns _null_ if all expressions are _null_.,1
scalar,list_push_back,,,,Appends an element to the end of an array.,1
scalar,mod,numeric,,"numeric,numeric",Modulo (remainder),1
scalar,regexp_split_to_array,array<text>,,"text,text",Split string by pattern,1
aggregate,regr_sxy,,,,Computes the sum of products of paired data points.,1
scalar,replace,,,,Replaces all occurrences of a specified substring in a string with a new substring.,1
scalar,round,,,,Rounds a number to the nearest integer.,1
scalar,to_jsonb,jsonb,,any,map input to jsonb,1
scalar,array_prepend,,,,Prepends an element to the beginning of an array.,1
window,cume_dist,,,,Relative rank of the current row: (number of rows preceding or peer with current row) / (total rows).,1
scalar,dlog10,double,,double,base 10 logarithm,1
scalar,factorial,,,,Factorial. Returns 1 if value is less than 2.,1
scalar,generate_series,,,,"Similar to the range function, but it includes the upper bound.",1
scalar,greatest,,,,Returns the greatest value in a list of expressions. Returns _null_ if all expressions are _null_.,1
scalar,instr,,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0.",1
scalar,json_extract_path,json,,"json,array<text>",Get JSON object at path,1
scalar,lcm,,,,Returns the least common multiple of `expression_x` and `expression_y`. Returns 0 if either input is zero.,1
scalar,nullif,,,,"Returns _null_ if _expression1_ equals _expression2_; otherwise it returns _expression1_.
This can be used to perform the inverse operation of [`coalesce`](#coalesce).",1
scalar,overlaps,boolean,,"time without time zone,time without time zone,time without time zone,time without time zone",intervals overlap?,1
scalar,quote_nullable,text,,any,Quote nullable,1
scalar,repeat,,,,Returns a string with an input string repeated a specified number.,1
